frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,3,[250 456 475 660],[319 587 399 619],0.6510344743728638,LAIHAU,0.14459854241970863
2,3,[250 456 475 661],[316 587 399 623],0.6486467123031616,HAIJ HRU,0.11380979855498354
2,5,[730 385 929 579],[804 517 857 545],0.6280452609062195,HILIU,0.10404598092659606
3,3,[249 458 476 665],[310 590 397 626],0.6460747122764587,WAIZWRU,0.04093109450067214
3,5,[730 388 929 583],[804 519 858 548],0.6093692779541016,MHLU,0.26582571864128113
4,3,[247 461 475 669],[314 593 391 628],0.5984748601913452,KAIJ MRU,0.06903320933826769
5,3,[243 461 475 672],[312 594 391 628],0.6373222470283508,KAIZ HRU,0.10796347662945635
5,5,[728 390 930 587],[804 522 861 552],0.6025492548942566,MLLU,0.1800859570503235
6,5,[728 391 930 589],[806 525 864 554],0.6016526222229004,MELIU,0.15111589526566574
6,3,[244 464 476 675],[317 599 394 629],0.577745258808136,KAIJ MRU,0.12391087325889276
7,5,[729 389 934 590],[806 527 863 556],0.6452744603157043,HAI,0.12430942687346161
7,3,[242 465 475 678],[313 603 393 634],0.5979757905006409,KAIHAU,0.16537101463602266
8,5,[731 391 936 591],[806 529 862 558],0.6643500328063965,JIEIUSU,0.06213916221868078
8,3,[239 467 474 681],[309 604 393 636],0.5745663046836853,4AIJ MRU,0.11955292692080781
9,5,[732 395 936 594],[807 531 863 559],0.6347050070762634,LFI,0.15946780867877502
9,3,[239 470 473 684],[308 608 391 640],0.6052519083023071,HAU,0.1496092014936298
10,3,[235 472 471 687],[306 610 390 643],0.5727593302726746,NAI HAU,0.15253841099464213
11,5,[733 396 940 598],[807 533 864 562],0.6516918540000916,MELS,0.2917231619358063
11,3,[233 473 470 690],[302 611 389 643],0.4901978075504303,NRU ,0.1948828101158142
12,3,[232 475 470 692],[303 615 387 645],0.5044054985046387,KAIZ HRU,0.16760387156555892
13,5,[731 398 941 602],[806 538 866 567],0.5987365245819092,MIKKU,0.08906995647773076
13,3,[231 479 468 696],[306 620 388 652],0.5816752314567566,IJMRU,0.8614131616364175
14,5,[731 399 941 604],[808 541 865 568],0.5777856111526489,WILU,0.07480189949274063
14,3,[230 479 469 698],[296 620 386 656],0.5612521171569824,KAI NRU,0.15631565027865582
15,5,[732 402 941 606],[808 542 866 570],0.6181675791740417,WLS,0.40931482948133874
15,3,[230 482 467 700],[299 623 386 658],0.560617208480835,KAIZ HRU,0.1981897309959737
16,3,[229 486 465 702],[301 626 384 659],0.5611343383789062,AHAJ MRU,0.06369608550975364
16,6,[401 348 575 493],[465 437 503 459],0.254039466381073,HICO,0.013259178027510643
17,3,[228 488 465 704],[289 627 384 660],0.4679802656173706,HAI2 MRU,0.29481196599506887
18,3,[227 490 464 706],[296 631 386 663],0.4210919141769409,K4IJ MRU,0.08616153237406023
19,5,[734 411 945 616],[808 550 868 581],0.6372974514961243,ISAI,0.01401613187044859
19,3,[226 494 462 709],[296 635 382 668],0.6060372591018677,HIZ MRU,0.21793741252059595
20,5,[735 413 946 618],[808 551 869 582],0.6294180154800415,A,0.05771767411789441
20,3,[226 497 461 711],[291 636 381 669],0.5742729306221008,HAI? HRU,0.12777872014862016
21,3,[225 499 461 713],[291 639 379 673],0.6337838172912598,HAID MRU,0.11471808707712938
21,5,[736 413 949 620],[808 554 872 585],0.6185853481292725,MFL,0.13381357986385262
22,3,[223 501 458 713],[284 642 377 677],0.6123737096786499,WAID MRU,0.12265971513305986
23,3,[223 504 456 714],[283 642 376 679],0.5583488345146179,WAIDMRU,0.16034784416389367
24,3,[222 506 455 714],[293 650 381 682],0.6290239691734314,HAIJ MRU,0.15408487726610057
25,5,[733 418 952 631],[812 564 873 594],0.6374165415763855,WELSU,0.15353282192592804
25,3,[222 508 454 714],[284 653 380 689],0.6276513934135437,WAIZ HRU,0.2155431146096095
25,6,[394 358 574 505],[456 446 515 474],0.4475798010826111,IGUS CJ,0.056635642121661695
26,3,[222 509 454 715],[285 654 379 690],0.6359875798225403,MAIJ HRU,0.07294093951222437
26,6,[392 359 574 507],[456 448 515 475],0.4164764881134033,ADUSCCJ,0.038727721124475374
27,5,[732 420 952 635],[811 567 874 597],0.6401013731956482,HNSIESH,0.008226480456361743
27,3,[222 512 452 715],[288 655 383 693],0.6273502111434937,HADNRU,0.12726891743178487
27,6,[392 360 575 508],[454 448 516 475],0.3172021210193634,4D45OGJ,0.042208631334920525
28,5,[732 420 954 638],[813 569 875 599],0.6279773712158203,LSISU,0.2069199419904973
28,3,[222 515 450 715],[292 660 377 693],0.5945265293121338,HMAIJ NRU,0.04513382308296304
29,3,[222 517 450 715],[292 661 378 695],0.5547646284103394,LHAIJ MRU,0.08981980496477958
29,6,[390 362 574 512],[453 453 508 476],0.3407723605632782,WCNS OCJ,0.020100577947854484
30,3,[221 520 448 715],[281 666 375 701],0.6156216859817505,HAIJ HRU,0.3231988847439657
30,6,[388 363 574 514],[456 454 501 478],0.3821663558483124,1GUSOG,0.05256447266626952
31,3,[220 522 447 715],[285 672 374 706],0.626653790473938,LWAIDHRU,0.02090156938927405
32,3,[221 524 447 715],[283 674 376 709],0.6601109504699707,MAID NRU,0.1794531704039195
32,6,[387 366 573 518],[457 458 507 482],0.26917916536331177,5U50G4,0.07784155552915589
33,3,[221 528 445 715],[288 674 375 710],0.6346256136894226,WAIDMRU,0.04588770174793822
33,5,[736 433 955 650],[816 582 877 612],0.6312965750694275,WSISU,0.2447560068336215
34,5,[737 437 956 654],[816 584 879 615],0.6313177347183228,WSITSU,0.17614152241861583
35,5,[739 439 958 655],[817 585 880 616],0.6274055242538452,WSISU,0.22612737675731923
35,6,[384 371 568 521],[450 461 503 485],0.3254358768463135,G4SOG4,0.05951644094742541
36,5,[739 439 960 658],[817 589 881 620],0.6315008401870728,WSLSU,0.1985243595319136
37,5,[737 438 963 662],[819 591 882 622],0.675565242767334,WISISU,0.4698609841536784
37,6,[384 372 571 524],[448 464 508 491],0.4663544297218323,ACWSOCJ,0.038374484211613206
38,6,[382 373 570 525],[446 464 509 491],0.48865729570388794,40450G4,0.06444760405804333
39,6,[381 375 569 526],[441 466 506 490],0.5106286406517029,CVIS 0GJ,0.02756645078468374
40,5,[736 444 962 669],[819 598 882 629],0.6608918905258179,IL,0.19242453500568074
40,6,[381 377 568 527],[447 469 509 496],0.3420873284339905,ICU5OCJ,0.07261627458249086
41,5,[736 446 962 671],[818 599 882 631],0.6577602028846741,LELLSU,0.0416922554134733
41,6,[380 378 569 529],[441 469 504 497],0.4082460105419159,G4ISOG),0.058212577273281385
42,5,[738 450 964 675],[819 603 883 633],0.5881893038749695,LAS,0.20079496660084484
43,5,[738 453 964 679],[821 605 885 637],0.6418095231056213,LSLSU,0.11710968969431486
43,6,[378 380 570 532],[442 473 490 498],0.4829777181148529,G450G,0.0932166814848185
44,5,[737 454 966 682],[822 607 887 638],0.6351625919342041,WSLSU,0.1368360174227311
44,6,[377 380 570 534],[443 473 502 498],0.4594222903251648,4GL50C,0.026246303003661778
45,5,[737 455 968 684],[823 610 887 641],0.6416094899177551,WISISU,0.7018707402456861
45,6,[376 381 570 536],[441 475 505 501],0.31721505522727966,LC4IS OGJ,0.09539174413441999
46,5,[737 457 969 687],[822 613 888 645],0.6609925031661987,LSIKSU,0.10916217344572947
46,6,[374 383 569 539],[443 477 504 504],0.5232480764389038,4G45OG,0.054039413751391464
47,5,[737 458 970 689],[822 614 889 646],0.662225067615509,LSIVSU,0.09377933420078598
47,6,[374 384 569 541],[438 477 502 507],0.5477585196495056,C4IS OC],0.11709665419220502
48,5,[738 459 973 692],[824 619 890 650],0.6378627419471741,LAIS,0.09740319103002548
48,6,[373 386 569 542],[437 482 498 509],0.5089251399040222,G4IS OGJ,0.13149876631307433
49,5,[739 461 975 694],[824 621 891 654],0.6645011305809021,MISISU,0.3236622030254172
49,6,[372 387 569 544],[437 486 490 506],0.36217331886291504,LCYS 0C _,0.07634317613424409
50,5,[741 461 977 695],[824 623 891 655],0.6722554564476013,LLEIAI,0.09653252007920138
50,6,[371 388 569 546],[438 486 488 511],0.5174186825752258,165OG,0.16608274073707682
51,5,[740 461 981 699],[825 627 891 657],0.6535537242889404,MSIVSU,0.1016638865931401
51,6,[370 389 569 549],[440 487 493 513],0.5047832131385803,LCLISOCJ,0.07306269625145852
52,6,[369 391 568 551],[439 488 494 515],0.4907427430152893,4G4IS OGJ,0.06386696182341624
53,6,[368 392 568 552],[438 489 493 515],0.4375278651714325,LGUS OCJ,0.09409383213099305
54,5,[745 472 982 706],[828 635 896 667],0.6370062828063965,WISLSU,0.34373523470459366
54,6,[368 393 569 554],[438 491 495 516],0.44489267468452454,45IS OCJ,0.14310019676265393
55,5,[747 477 982 708],[829 637 898 670],0.6618784666061401,JWISISU,0.07694827995529814
55,6,[367 394 570 556],[435 492 492 518],0.5360246300697327,LOXS OCJ,0.12418927344201933
56,5,[747 480 982 710],[829 639 899 671],0.6660391092300415,SISU),0.1096222584093516
56,6,[366 394 569 557],[436 493 493 519],0.5382412075996399,16LSOGJ,0.20872765171062976
57,5,[748 482 983 712],[831 642 899 675],0.640238881111145,LSIVSU,0.022172621099682592
57,6,[365 395 568 558],[434 494 499 523],0.5729843974113464,L6XL5 OCJ,0.15222709372035664
58,5,[747 483 983 714],[832 644 898 678],0.628758430480957,ISSU,0.2570115327835083
