frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
109,1,685.0 372.0 854.0 521.0,741.0 466.0 801.0 492.0,0.2887263298034668,"LP9S EO""",0.0822493764396341
110,1,686.0 373.0 854.0 522.0,741.0 466.0 806.0 491.0,0.3541243374347687,MP05_,0.032000553165243875
111,1,685.5 374.0 854.25 523.25,741.0 467.0 805.0 492.75,0,0,0
112,1,685.0 375.0 854.5 524.5,741.0 468.0 804.0 494.5,0,0,0
113,1,684.5 376.0 854.75 525.75,741.0 469.0 803.0 496.25,0,0,0
114,1,684.0 377.0 855.0 527.0,741.0 470.0 802.0 498.0,0.46235987544059753,4DOS CN,0.017443585695298223
115,1,683.0 378.0 857.0 529.0,740.0 472.0 802.0 500.0,0.5716805458068848,UROC CO,0.02076409945922102
116,1,682.0 378.0 857.0 530.0,740.0 473.0 806.0 502.0,0.39373916387557983,POS,0.08095762732186035
117,1,682.25 379.25 857.75 531.75,741.0 474.75 805.75 503.25,0,0,0
118,1,682.5 380.5 858.5 533.5,742.0 476.5 805.5 504.5,0,0,0
119,1,682.75 381.75 859.25 535.25,743.0 478.25 805.25 505.75,0,0,0
120,1,683.0 383.0 860.0 537.0,744.0 480.0 805.0 507.0,0.4496830403804779,ID5 JEO,0.0509179831923048
121,1,683.0 385.0 860.0 539.0,743.0 483.0 806.0 510.0,0.49648743867874146,LPOS JAO],0.02234934345708081
122,1,682.0 386.0 861.0 541.0,742.0 485.0 792.0 510.0,0.5510625839233398,IPO5,0.07449609786272049
123,1,683.0 387.0 862.0 543.0,741.0 486.0 800.0 512.0,0.34221351146698,49043O,0.0030413064767579054
124,1,682.0 390.0 861.0 545.0,747.0 486.0 799.0 512.0,0.42165547609329224,IPOSUBC,0.045673024999135683
125,1,682.0 392.0 861.0 546.0,745.0 487.0 804.0 513.0,0.3743041157722473,ME,0.058222918282634976
126,1,683.0 394.0 861.0 547.0,742.0 487.0 810.0 516.0,0.5680820941925049,APOSPPOI,0.001847538565456714
127,1,683.0 395.0 863.0 549.0,742.0 490.0 812.0 518.0,0.3691096007823944,PO5VEO,0.20855724556649455
128,1,683.0 395.5 864.0 550.0,744.0 491.0 814.5 519.5,0,0,0
129,1,683.0 396.0 865.0 551.0,746.0 492.0 817.0 521.0,0.38206854462623596,LPOS BO],0.09570850195718154
130,1,682.0 397.0 866.0 554.0,748.0 497.0 816.0 523.0,0.3606855571269989,EPOSUEQM,0.009667180956714452
131,1,682.0 398.0 866.0 556.0,747.0 497.0 814.0 524.0,0.28881269693374634,LPO5 JBO),0.015567036572885804
132,1,682.0 399.0 866.0 557.0,745.0 497.0 817.0 526.0,0.3940337300300598,4?05UJE06,0.06252271227344866
133,1,682.0 400.0 867.0 559.0,748.0 501.0 812.0 529.0,0.5213050842285156,APO5LBO[,0.026171167708772005
134,1,682.0 402.0 866.0 560.0,744.0 500.0 814.0 531.0,0.6070138216018677,AP05 JEOM,0.09686082534328193
135,1,681.0 402.0 867.0 561.0,747.0 502.0 808.0 529.0,0.5229841470718384,APO5 EO[,0.024101534585934187
136,1,681.0 404.0 867.0 562.0,745.0 502.0 815.0 532.0,0.6314048171043396,A205 E0F,0.0026887049358272643
137,1,681.0 405.0 868.0 564.0,742.0 501.0 815.0 533.0,0.6138715744018555,LEOSUEOI,0.01930631714136221
138,1,682.0 407.0 870.0 566.0,750.0 504.0 817.0 536.0,0.6119794249534607,APO3UEO,0.015963063040874085
139,1,683.0 408.0 872.0 568.0,747.0 504.0 811.0 535.0,0.2932632863521576,APO5 EOM,0.09404610694975712
140,1,684.0 409.0 872.0 569.0,747.0 509.0 819.0 540.0,0.5115006566047668,P05,0.23563379567711273
141,1,684.0 410.0 874.0 571.0,748.0 511.0 817.0 542.0,0.4821767807006836,DOE,0.22701761568466194
142,1,682.0 410.0 875.0 574.0,746.0 511.0 813.0 544.0,0.5406132936477661,AP05 JEO),0.08670687594369354
143,1,683.0 411.0 877.0 576.0,745.0 512.0 822.0 543.0,0.5753492116928101,APO5 JEO,0.21848710663237247
144,1,681.0 412.0 877.0 578.0,746.0 516.0 815.0 545.0,0.5937809944152832,AP05 JEO,0.11642694404520854
145,1,681.0 413.0 878.0 581.0,753.0 520.0 817.0 544.0,0.3620798885822296,LPO5 JEO,0.058776973873912515
146,1,682.0 416.0 878.0 583.0,750.0 519.0 815.0 545.0,0.5662162899971008,LPO5 JEO),0.06150827737120479
147,1,682.0 417.0 879.0 585.0,749.0 519.0 815.0 547.0,0.5018290281295776,APO5 JEOM,0.07103021162426422
148,1,682.0 419.0 881.0 588.0,752.0 521.0 819.0 549.0,0.5183433294296265,APO5 JEOL,0.07117309597066299
149,1,683.0 420.0 882.0 590.0,755.0 526.0 822.0 551.0,0.45439836382865906,LPO5 JEO,0.024664684768365145
150,1,683.0 422.0 883.0 592.0,756.0 528.0 822.0 556.0,0.43435192108154297,MPO5 EQ],0.020802490797299455
151,1,683.0 423.0 885.0 595.0,756.0 530.0 822.0 557.0,0.35133883357048035,APOS ED,0.029438219813587428
152,1,683.0 425.0 886.0 597.0,756.0 528.0 827.0 558.0,0.46838340163230896,HPOSEE0,0.0019829962665729992
153,1,684.0 426.0 886.0 598.0,755.0 532.0 824.0 562.0,0.6309211850166321,APO5 JEOL,0.061398660070091496
154,1,682.0 427.0 886.0 600.0,754.0 533.0 821.0 562.0,0.6003562211990356,APO UEO ,0.06404412769011962
155,1,683.0 428.0 886.0 600.0,754.0 534.0 827.0 562.0,0.585931658744812,APOSUEO,0.36133517475658966
156,1,683.0 429.0 888.0 602.0,754.0 533.0 830.0 565.0,0.637845516204834,APO3 JEOL,0.05607156445658153
157,1,684.0 432.0 888.0 604.0,758.0 536.0 833.0 568.0,0.5982660055160522,LOS JEO,0.05970795034797847
158,1,683.0 433.0 888.0 606.0,755.0 537.0 835.0 569.0,0.5902400016784668,AP@BNAO,0.0006005677775455552
159,1,683.0 435.0 888.0 608.0,757.0 541.0 832.0 574.0,0.5439664125442505,APO5 JEO,0.20103171812033543
160,1,683.0 436.0 889.0 610.0,759.0 544.0 830.0 574.0,0.55219566822052,APOS UEQE,0.12992723525952588
161,1,684.0 437.0 890.0 612.0,760.0 543.0 832.0 575.0,0.6158674955368042,LPOS JE0,0.299877678322677
162,1,685.0 439.0 892.0 614.0,754.0 548.0 833.0 577.0,0.5935050845146179,APOS VEQE,0.10523710734382836
163,1,685.0 441.0 892.0 617.0,757.0 549.0 827.0 579.0,0.6241992115974426,LPO5 JEOL,0.06388221930706323
164,1,685.0 442.0 893.0 619.0,755.0 550.0 828.0 580.0,0.6385731101036072,APOS VEQ,0.07883361289757432
165,1,684.0 443.0 894.0 621.0,757.0 551.0 834.0 582.0,0.6140601634979248,LROS JED,0.12198700406656698
166,1,685.0 444.0 897.0 625.0,755.0 557.0 832.0 588.0,0.4539041519165039,APO5 JEO],0.15384054216954987
167,1,685.0 446.0 896.0 627.0,758.0 557.0 833.0 590.0,0.5023111701011658,APOS JEO,0.06954621104180644
168,1,685.0 448.0 896.0 630.0,760.0 561.0 835.0 590.0,0.5142174959182739,AP05 JEQI,0.034403046047655865
169,1,687.0 450.0 897.0 630.0,761.0 562.0 836.0 594.0,0.6215347051620483,4P05 JIQI,0.007307136927513773
170,1,688.0 450.0 899.0 632.0,752.0 564.0 834.0 595.0,0.5929549932479858,POS JEO,0.19110165534201176
171,1,689.0 453.0 899.0 634.0,755.0 565.0 833.0 596.0,0.6217939257621765,LROSLJED,0.05758873286199515
172,1,689.0 456.0 899.0 637.0,760.0 567.0 839.0 598.0,0.6347357034683228,LPO5 JEO,0.11927154334323162
173,1,688.0 457.0 899.0 639.0,761.0 568.0 841.0 599.0,0.6003596186637878,AP05 VE0,0.07015013095484415
